# Plummer Sphere Model Random Initial Conditions - 10000 particles 
# 
#              position_x           position_y           position_z           velocity_x           velocity_y           velocity_z              masses    
            -8.27453728e-01      -4.97620377e-01      -3.89548270e-01      -1.37852586e+02      -7.20467347e+01       4.84690941e+01        9.42866034e-05
            -3.59292758e-01       3.45337547e-01       1.88406943e-01       2.46638688e+01      -2.65964796e+00      -1.47511869e+02        9.42866034e-05
             8.61617170e-01       1.92001248e+00      -5.58778657e-02      -6.08175373e+01       3.67194649e+01       3.70401178e+01        9.42866034e-05
             3.08805531e+00       6.87026089e-02       1.14364535e-01      -3.71272120e+01       6.85806472e+01       2.88811176e+01        9.42866034e-05
             9.62006247e-01       1.92874093e-01      -1.47023281e-01      -5.47496166e+01      -4.15656178e+01       1.79219749e+01        9.42866034e-05
             4.37297258e-01       1.30532481e+00      -1.37858467e+00       3.33130649e+01      -4.05919069e+01       7.68853618e+01        9.42866034e-05
            -2.18741164e-01       1.30577261e-01      -3.67261814e-01      -7.49118266e+01      -4.27961596e-01      -1.18140290e+01        9.42866034e-05
             6.95843135e-01       1.13287285e+00      -1.44382104e+00      -6.75743972e+01       8.90303934e+00      -2.80492662e+01        9.42866034e-05
             1.49647380e-01       1.14147371e+00      -1.71904439e-01      -6.76593186e+01      -8.98518655e+01      -3.76702059e+01        9.42866034e-05
            -3.69515423e-01       1.17434113e-02      -6.63213069e-01       1.73627260e+01       1.27793915e+02       2.31952571e+01        9.42866034e-05
            -8.68661073e-01       4.76110559e-01       3.35239868e-03       9.93727936e+01       2.14082540e+01      -7.05120251e+00        9.42866034e-05
             3.26840201e-01      -2.53971776e-01      -2.71918183e-01       1.84009567e+01      -1.45332913e+01      -9.83437606e+00        9.42866034e-05
            -4.14382868e-01       2.55929735e+00       1.29284229e+00      -7.52329925e+01      -2.36416526e+01       2.97260686e+01        9.42866034e-05
            -4.40334162e-01       9.77365221e-01       2.70444651e-01       7.63173053e+01      -1.04815473e+02      -1.90511768e+01        9.42866034e-05
             1.36614762e+00       4.00241853e-01       6.25098811e-01       5.95123365e+01       1.25592434e+02       1.41341567e+01        9.42866034e-05
             2.38562394e-01      -1.15122730e-01      -6.80935701e-01      -9.73378690e+01      -7.45969862e+01      -1.25990320e+02        9.42866034e-05
            -1.67217371e+00       9.08629071e-01      -2.40691365e-01       5.65440450e-01      -2.16142008e+01       5.83682496e+01        9.42866034e-05
            -1.07842825e+00      -3.24083178e+00      -3.76062324e-01      -4.35085713e+00      -6.81741927e+01       1.67161461e+01        9.42866034e-05
            -8.89299648e-01       1.48348721e+00       2.17080145e+00      -3.60403696e+01       2.56352020e+01      -4.01122442e+01        9.42866034e-05
            -4.46829231e-01      -9.43282602e-01       7.11719826e-01       2.48673043e+00       7.29185877e+01      -5.12617252e+01        9.42866034e-05
            -2.69954357e-01      -1.28879665e-01      -1.05393766e-01      -4.05564482e+01      -1.53339954e+02       7.30982042e+01        9.42866034e-05
             3.12430197e-01      -4.14963151e-01      -1.22472739e-01       1.11346930e+02       2.67290530e+01      -3.20586669e+01        9.42866034e-05
             7.77390355e-01       9.50767333e-01      -5.30262166e-01      -1.80691062e+01      -2.09455505e+01      -1.66900028e+01        9.42866034e-05
             1.17085808e+00       2.35586170e+00       2.19203564e-01       2.89766286e+01       3.01753980e+00      -6.04813972e+01        9.42866034e-05
             4.63534235e-01       2.23798023e-01       4.10442664e-01       5.11625654e+00      -1.22800179e+02      -4.61023991e+01        9.42866034e-05
             1.06790545e+00       1.54329544e-01       1.51012904e-01       9.38362572e+01       3.09974552e+01       5.33509949e+01        9.42866034e-05
             9.83835500e-02      -3.96454170e-01      -5.04808471e-01      -5.19774036e+01      -1.17187281e+02      -1.15737576e+02        9.42866034e-05
             1.20996916e-01      -7.41583942e-01       3.49128581e-01       2.04450584e+01      -4.64509885e+01       3.50420157e+01        9.42866034e-05
             4.56048748e-01       8.85038802e-01       5.88282484e-01       8.20356226e+01      -1.69428298e+01       1.22981958e+02        9.42866034e-05
            -5.43062392e-01      -2.08856106e-01      -5.98106211e-01      -3.06474167e+00       3.73906006e+01      -1.40698319e+02        9.42866034e-05
             2.11660718e-01       5.19886625e-01      -2.45211819e-01       3.31302270e-01      -3.12737638e+01      -2.20930838e+01        9.42866034e-05
             1.34830510e+00       4.55059634e+00      -8.64710734e-01      -2.08473159e+01       2.68651318e+01      -4.66548110e+01        9.42866034e-05
            -1.39235538e+00      -9.33397016e-01      -8.85686947e-01      -7.40920764e+01       6.91931725e+01      -2.78329801e+01        9.42866034e-05
            -6.32650328e-01      -8.72445608e-01      -3.47634219e-01      -6.58746093e+01      -2.95276729e+01      -1.30688084e+02        9.42866034e-05
            -3.03289324e-01       4.75617680e-01      -1.73733496e-01       4.09024228e+01       1.11372237e+02       1.71102818e+01        9.42866034e-05
             8.79391394e-01       1.68372615e+00      -2.82464914e-02      -4.21524392e+01      -3.12296771e+01      -8.31740560e+01        9.42866034e-05
